id,gateway_id,pkt_date_and_time,pkt_rssi,pkt_snr,pkt_data,pkt_size,pkt_longitude,pkt_latitude
665,240AC4F01E023C54,2018-02-06T15:24:01.692886Z,-47,6,"{""time"": ""2018-02-06T15:24:01.560939Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
666,240AC4F01E0286DC,2018-02-06T15:24:01.598750Z,-47,6,"{""time"": ""2018-02-06T15:24:01.560939Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
667,240AC4F01E023E3C,2018-02-06T15:24:01.691075Z,-49,6,"{""time"": ""2018-02-06T15:24:01.560939Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
668,240AC4F01E023E3C,2018-02-06T15:24:04.322171Z,-45,7,"{""time"": ""2018-02-06T15:24:04.92410Z"", ""gtiD"": ""240AC4F01E0286DC""}",66,1.5,9.05
669,240AC4F01E023C54,2018-02-06T15:24:04.323539Z,-40,6,"{""time"": ""2018-02-06T15:24:04.92410Z"", ""gtiD"": ""240AC4F01E0286DC""}",66,1.5,9.05
670,240AC4F01E025FF4,2018-02-06T15:24:04.328119Z,-47,7,"{""time"": ""2018-02-06T15:24:04.92410Z"", ""gtiD"": ""240AC4F01E0286DC""}",66,1.5,9.05
671,240AC4F01E023E3C,2018-02-06T15:24:04.735187Z,-49,7,"{""time"": ""2018-02-06T15:24:04.600153Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
672,240AC4F01E025FF4,2018-02-06T15:24:04.742159Z,-47,7,"{""time"": ""2018-02-06T15:24:04.600153Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
673,240AC4F01E0286DC,2018-02-06T15:24:04.642719Z,-41,7,"{""time"": ""2018-02-06T15:24:04.600153Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
674,240AC4F01E023C54,2018-02-06T15:24:10.408588Z,-50,6,"{""time"": ""2018-02-06T15:24:10.269725Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
675,240AC4F01E0286DC,2018-02-06T15:24:10.314771Z,-45,7,"{""time"": ""2018-02-06T15:24:10.269725Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
676,240AC4F01E023C54,2018-02-06T15:24:11.692455Z,-47,7,"{""time"": ""2018-02-06T15:24:11.560740Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
677,240AC4F01E0286DC,2018-02-06T15:24:11.598887Z,-47,7,"{""time"": ""2018-02-06T15:24:11.560740Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
